Adresa;Adresa interní;Městská část;GPS lat;GPS lon;vyska;Typ zdroje;Systém;Popis
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;PDSJir19;PDS Jírovcova 19
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;AxmPS1MT;Měření Axmanova 3-15
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;AxmPS2MT;Měření Jírovcova 13-19
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;AxmPS3MT;Měření Jírovcova 3-11
Bakalovo nábřeží 1,2;VS Bakal.náb. 1-2;Štýřice;49.1839836;16.6009253;201.6;HV;VSBn1STR;Strojovna Bakal.náb. 1-2
Bakalovo nábřeží 1,2;VS Bakal.náb. 1-2;Štýřice;49.1839836;16.6009253;201.6;HV;VSBn1MT;Měření Bakal.náb. 1-2
Bakalovo nábřeží 3-7;VS Bakal.náb. 3-7;Štýřice;49.1842136;16.6004047;201.0;HV;VSBn3STR;Strojovna Bakal.náb. 3-7
Bakalovo nábřeží 3-7;VS Bakal.náb. 3-7;Štýřice;49.1842136;16.6004047;201.0;HV;VSBn3MT;Měření Bakal.náb. 3-7
Bednaříkova 13;VS7 Bednaříkova;Líšeň;49.2121864;16.6830994;344.5;HV;VS7ToKOT;Kotle VS7 Bednaříkova
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelKOT;Kotle K4 Bellova
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelSTR;Strojovna K4 Bellova
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelMT;Měření K4 Bellova
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelPS1;PDS Bellova 18
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelPS2;PDS Bellova 24
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelPS3;PDS Bellova 28/30
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelPS4;PDS Chopinova 6
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelPS5;PDS Lib.třída 8
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelMT1;Měření Bellova 5-48
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelMT2;Měření Chopinova 1-5
Bellova 38a;PK K4 Bellova;Kohoutovice;49.1944017;16.5282256;403.7;PK;K4BelMT3;Měř. Chopi.6-13,Lib.tř 8
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;HO15BKOT;VS HO15 Bieblova vým.
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;HO15BMT;VS HO15 Bieblova Měření
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;PdBie_12;PDS Biebl.sude 2-14
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;PdBie_18;PDS Bieblova 18
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;PdBie_20;PDS Bieblova 20
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;PdBie_22;PDS Bieblova 22
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;PdBie_34;PDS Biebl.sude 24-38
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;PdSNP_15;PDS nam.SNP 12-17
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;BiPS1MT;Měření Bieblova 2-36
Bieblova 38;VSHO15 Bieblov.38;Černá Pole;49.2162605;16.6160974;249.0;HV;BiPS2MT;Měření SNP 12-17
Biskupská 8;VS Biskupská 8;Střed;49.1917028;16.6064561;238.1;HV;Bisk8STR;Stroj. Biskupská 8
Blatnická 8a;VSV011 Blatnick.8a;Vinohrady;49.2072581;16.6612214;297.2;HV;V11BlKOT;Kotle V011 Blatnická
Blatnická 8a;VSV011 Blatnick.8a;Vinohrady;49.2072581;16.6612214;297.2;HV;V11BlSTR;Stroj. V011 Blatnická
Blatnická 8a;VSV011 Blatnick.8a;Vinohrady;49.2072581;16.6612214;297.2;HV;V11BlMT;Měření V011 Blatnická
Brechtova 7;HO6 Brechtova 7;Lesná;49.2314428;16.6281086;308.7;HV;HO6BrKOT;Kotle HO6 Brechtova
Brechtova 7;HO6 Brechtova 7;Lesná;49.2314428;16.6281086;308.7;HV;HO6BrSTR;Stroj. HO6 Brechtova
Brožíkova 1;HO12 Brožíkova 1;Lesná;49.2278019;16.6203258;277.3;HV;HO12BSTR;Stroj. HO12 Brožíkova 1
Březová 68a;PK G1 Březová 68a;Jundrov;49.2124525;16.5473306;238.5;PK;G1BreKOT;Kotle G1 Březová
Březová 68a;PK G1 Březová 68a;Jundrov;49.2124525;16.5473306;238.5;PK;G1BreSTR;Strojovna  G1 Březová
Bystřinova 10;VS Bystřinova 10;Královo Pole;49.2299975;16.5864678;250.9;HV;VBy10STR;Strojovna Bystřinova 10
Bystřinova 10;VS Bystřinova 10;Královo Pole;49.2299975;16.5864678;250.9;HV;VsBy10MT;Měření Bystřinova 10
Boettingrova 5;VS Boettingerov.5;Juliánov;49.1922956;16.6534875;236.4;HV;VSBoeKOT;Ohř. VS5 Boettingerova
Boettingrova 5;VS Boettingerov.5;Juliánov;49.1922956;16.6534875;236.4;HV;VSBoeStr;Ohř. VS5 Boettingerova
Boettingrova 5;VS Boettingerov.5;Juliánov;49.1922956;16.6534875;236.4;HV;VSBoeMT;Měř. VS5 Boettingerova
Boettingrova 5;VS Boettingerov.5;Juliánov;49.1922956;16.6534875;236.4;HV;PdsBoe05;PDS Boettingerova 5
Bochořákova 1;VS Bochořákova 11;Žabovřesky;49.2212475;16.5701958;260.3;HV;VsB11STR;Strojovna Bochořákova 11
Bochořákova 1;VS Bochořákova 11;Žabovřesky;49.2212475;16.5701958;260.3;HV;VsB11MT;Měření Bochořákova 11
Bochořákova 3;VS Bochořákova 3;Žabovřesky;49.2204417;16.5702033;254.4;HV;VsBo3STR;Strojovna Bochořákova 3
Bochořákova 3;VS Bochořákova 3;Žabovřesky;49.2204417;16.5702033;254.4;HV;VsBo3MT;Měření Bochořákova 3
Bochořákova 5;VS Bochořákova 5;Žabovřesky;49.2206386;16.5703761;254.7;HV;VsBo5STR;Strojovna Bochořákova 5
Bochořákova 5;VS Bochořákova 5;Žabovřesky;49.2206386;16.5703761;254.7;HV;VsBo5MT;Měření Bochořákova 5
Bochořákova 7;VS Bochořákova 7;Žabovřesky;49.2208425;16.5702036;257.1;HV;VsBo7STR;Strojovna Bochořákova 7
Bochořákova 7;VS Bochořákova 7;Žabovřesky;49.2208425;16.5702036;257.1;HV;VsBo7MT;Měření Bochořákova 7
Bochořákova 9;VS Bochořákova 9;Žabovřesky;49.2210464;16.5703722;257.8;HV;VsBo9STR;Strojovna Bochořákova 9
Bochořákova 9;VS Bochořákova 9;Žabovřesky;49.2210464;16.5703722;257.8;HV;VsBo9MT;Měření Bochořákova 9
Bořetická 15a;VSV04 Bořetick.15a;Vinohrady;49.2015689;16.6625678;281.6;HV;V04BoKOT;Kotle V04 Bořetická
Bořetická 15a;VSV04 Bořetick.15a;Vinohrady;49.2015689;16.6625678;281.6;HV;V04BoSTR;Stroj. V04 Bořetická
Bořetická 15a;VSV04 Bořetick.15a;Vinohrady;49.2015689;16.6625678;281.6;HV;V04BoMT;Měření V04 Bořetická
Bořetická 1a;VSV06 Bořetická 1a;Vinohrady;49.2045611;16.6598344;294.2;HV;V06BoKOT;Kotle V06 Bořetická
Bořetická 1a;VSV06 Bořetická 1a;Vinohrady;49.2045611;16.6598344;294.2;HV;V06BoSTR;Stroj. V06 Bořetická
Bořetická 1a;VSV06 Bořetická 1a;Vinohrady;49.2045611;16.6598344;294.2;HV;V06BoMT;Měření V06 Bořetická
Boskovická 1;PKKR14 Boskovick.1;Řečkovice;49.2394439;16.5816639;248.8;PK;K14BoKOT;Kotle KR14 Boskovická
Boskovická 1;PKKR14 Boskovick.1;Řečkovice;49.2394439;16.5816639;248.8;PK;K14BoSTR;Strojov. KR14 Boskovická
Boskovická 1;PKKR14 Boskovick.1;Řečkovice;49.2394439;16.5816639;248.8;PK;K14BoMT;Měření KR14 Boskovická
Boskovická 1;PKKR14 Boskovick.1;Řečkovice;49.2394439;16.5816639;248.8;PK;K14BoPS1;PDS Žitná 1,3
Boskovická 1;PKKR14 Boskovick.1;Řečkovice;49.2394439;16.5816639;248.8;PK;BoPS1MT;Měření PDS Žitná 1,3
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;K3BosKOT;Kotle KR3 Boskovická
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;K3BosSTR;Strojovna KR3 Boskovická
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;K3BosPS1;PDS Novoměstská 23-41
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;K3BosPS2;PDS Boskovická 2-16
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;K3BosPS3;PDS Boskovická 3-17
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;K3BosPS4;PDS Kunštátská 23-31
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;K3BosMT;Měření KR3 Boskovická
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;BosPS1MT;Měření Novoměstská 23-41
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;BosPS2MT;Měření Boskovická 2-16
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;BosPS3MT;Měření Boskovická 3-17
Boskovická 8a;PKKR3 Boskovick.8a;Řečkovice;49.2408992;16.5870800;246.8;PK;BosPS4MT;Měření Kunštátská 23-31
Bosonožská 7a;PK K18 Bosonožská;Lískovec;49.1662289;16.5561333;229.7;PK;K18BoKOT;Kotelna K18 Bosonožská
Bosonožská 7a;PK K18 Bosonožská;Lískovec;49.1662289;16.5561333;229.7;PK;K18BoSTR;Stroj. K18 Bosonožská
Bosonožská 7a;PK K18 Bosonožská;Lískovec;49.1662289;16.5561333;229.7;PK;K18BoMT;Měření K18 Bosonožská
Botanická 29;VS Botanická 29;Veveří;49.2072983;16.5993758;230.3;HV;VSB29STR;Výměník VS Botanická 29
Botanická 31;VS Botanická 31;Veveří;49.2074308;16.5992814;230.7;HV;VSB31STR;Výměník VS Botanická 31
Botanická 43;VS Botanická 43;Veveří;49.2086044;16.5985422;231.3;HV;VSB43STR;Výměník VS Botanická 43
Botanická 52;VS Botanická 52;Veveří;49.2077531;16.5997611;229.1;HV;VSB52STR;Výměník VS Botanická 52
Botanická 54;VS Botanická 54;Veveří;49.2078953;16.5996964;228.9;HV;VSB54STR;Výměník VS Botanická 54
Botanická 59;VS Botanická 59;Veveří;49.2111831;16.5968764;232.7;HV;VSB59STR;Výměník VS Botanická 59
Botanická 66;VS Botanická 66,68;Veveří;49.2090011;16.5990300;229.9;HV;VSB66STR;Výměník VS Botanická 66
Botanická 70;Měření Ponava;Veveří;49.2107761;16.5984844;229.3;HV;MT1Pon32;MT Botan.,Kounic.,Závod.
Botanická 70;Měření Ponava;Veveří;49.2107761;16.5984844;229.3;HV;MT2Pon32;MT Lidická,Zahradníkova.
Botanická 70;Měření Ponava;Veveří;49.2107761;16.5984844;229.3;HV;MT3Pon32;MT Cihlářská, Burešova
Božetěchova 85a;VSHB4 Božetěchova;Královo Pole;49.2307056;16.5929081;231.0;HV;HB4BoKOT;Kotle HB4 Božetěchova
Božetěchova 85a;VSHB4 Božetěchova;Královo Pole;49.2307056;16.5929081;231.0;HV;HB4BoStr;Stroj. HB4 Božetěchova
Božetěchova 85a;VSHB4 Božetěchova;Královo Pole;49.2307056;16.5929081;231.0;HV;HB4BoMT;Měř. HB4 Božetěchova
Bystřinova 12;VS Bystřinova 12;Královo Pole;49.2299456;16.5862850;251.6;HV;VBy12STR;Strojovna Bystřinova 12
Bystřinova 12;VS Bystřinova 12;Královo Pole;49.2299456;16.5862850;251.6;HV;VsBy12MT;Měření Bystřinova 12
Bzenecká 18a;VSV08 Bzenecká 18a;Vinohrady;49.2045769;16.6570997;296.2;HV;V08BzKOT;Kotle V08 Bzenecká
Bzenecká 18a;VSV08 Bzenecká 18a;Vinohrady;49.2045769;16.6570997;296.2;HV;V08BzSTR;Stroj. V08 Bzenecká
Bzenecká 18a;VSV08 Bzenecká 18a;Vinohrady;49.2045769;16.6570997;296.2;HV;V08BzMT;Měření V08 Bzenecká
Bzenecká 4a;VSV010 Bzenecká 4a;Vinohrady;49.2099422;16.6598794;300.8;HV;V10BzKOT;Kotle V010 Bzenecká
Bzenecká 4a;VSV010 Bzenecká 4a;Vinohrady;49.2099422;16.6598794;300.8;HV;V10BzSTR;Stroj. V010 Bzenecká
Bzenecká 4a;VSV010 Bzenecká 4a;Vinohrady;49.2099422;16.6598794;300.8;HV;V10BzMT;Měření V010 Bzenecká
Cihlářská 15a;VS Cihlářská 15a;Veveří;49.2038422;16.6047503;219.7;HV;VSC15STR;Výměník VS Cihlářská 15a
Cihlářská 30;VS Cihlářská 30;Veveří;49.2045914;16.6039297;221.8;HV;VSC30STR;Výměník VS Cihlářská 30
Cihlářská 38;VS Cihlářská 38;Veveří;49.2049622;16.6037006;220.8;HV;VSC38STR;Výměník VS Cihlářská 38
Čejkovická 8;VSV03 Čejkovická 8;Vinohrady;49.2045514;16.6625836;288.1;HV;V03CeKOT;Kotle V03 Čejkovická
Čejkovická 8;VSV03 Čejkovická 8;Vinohrady;49.2045514;16.6625836;288.1;HV;V03CeSTR;Stroj. V03 Čejkovická
Čejkovická 8;VSV03 Čejkovická 8;Vinohrady;49.2045514;16.6625836;288.1;HV;V03CeMT;Měření V03 Čejkovická
Čeňka Růžičky 7;PK K21 Čeň.Růžičky;Bohunice;49.1679092;16.5756153;242.1;PK;K21RuKOT;Kotle K21 Čeňka Růičky
Čeňka Růžičky 7;PK K21 Čeň.Růžičky;Bohunice;49.1679092;16.5756153;242.1;PK;K21RuSTR;Strojovna K21 Č.Růžičky
Čeňka Růžičky 7;PK K21 Čeň.Růžičky;Bohunice;49.1679092;16.5756153;242.1;PK;K21RuPS1;PDS Č.Růžičky 6-18
Čeňka Růžičky 7;PK K21 Čeň.Růžičky;Bohunice;49.1679092;16.5756153;242.1;PK;RuPS1MT;Měření Č.Růžičky 6-18
Černého 47;PK8 Černého 47;Bystrc;49.2137164;16.5231658;259.0;PK;K8CerKOT;Kotle PK8 Černého
Černého 47;PK8 Černého 47;Bystrc;49.2137164;16.5231658;259.0;PK;K8CerSTR;Strojovna PK8 Černého
Černého 47;PK8 Černého 47;Bystrc;49.2137164;16.5231658;259.0;PK;K8Cer_MT;Měření PK8 Černého
Černého 5a;PK7 Černého 5a;Bystrc;49.2169517;16.5261858;246.2;PK;K7CerKOT;Kotle PK7 Černého
Černého 5a;PK7 Černého 5a;Bystrc;49.2169517;16.5261858;246.2;PK;K7CerSTR;Strojovna PK7 Černého
Černého 5a;PK7 Černého 5a;Bystrc;49.2169517;16.5261858;246.2;PK;K7Cer_MT;Měření PK7 Černého
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;PK1DeKOT;PK1 Dědická kotle
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;PK1DeSTR;PK1 Dědická strojovna
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;PK1DePS1;PDS Dědická 1-6
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;PK1DePS2;PDS Dědická 7-12
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;PK1DePS3;PDS Dědická 13-18
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;PK1DePS4;PDS Bučovická 1-6
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;PK1DePS5;PDS Bučovická 7,9,11
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;PK1DePS6;PDS Bučovická 13,15,17
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;DePS1MT;Měř.Dědická 1-6
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;DePS2MT;Měř.Dědická 7-12
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;DePS3MT;Měř.Dědická 13-18
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;DePS4MT;Měř.Bučovická 1-6
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;DePS5MT;Měř.Bučovická 7,9,11
Dědická 1a;PK1 Dědická 1a;Slatina;49.1816906;16.6831911;264.7;PK;DePS6MT;Měř.Bučovick
Dědická 37;PK6 Dědická 37;Slatina;49.1796981;16.6892064;272.1;PK;PK6DeKOT;PK6 Dědická kotle
Dědická 37;PK6 Dědická 37;Slatina;49.1796981;16.6892064;272.1;PK;PK6DeSTR;PK6 Dědická strojovna
Došlíkova 31a;VS HO Došlíkova;Juliánov;49.1953986;16.6544756;236.1;HV;VSDosStr;Stroj.VS HO Došlíkova
Došlíkova 31a;VS HO Došlíkova;Juliánov;49.1953986;16.6544756;236.1;HV;VSDosMT;Měření HO Došlíkova
Došlíkova 31a;VS HO Došlíkova;Juliánov;49.1953986;16.6544756;236.1;HV;HODosPS1;PDS Doš. 31,33,39,42
Došlíkova 31a;VS HO Došlíkova;Juliánov;49.1953986;16.6544756;236.1;HV;HODosPS2;PDS Doš. 44,45,46,48
Došlíkova 31a;VS HO Došlíkova;Juliánov;49.1953986;16.6544756;236.1;HV;HODosPS3;PDS Slat.1,31 Líš.40
Došlíkova 31a;VS HO Došlíkova;Juliánov;49.1953986;16.6544756;236.1;HV;DosPS1MT;Měření Doš. 31,33,39,42
Došlíkova 31a;VS HO Došlíkova;Juliánov;49.1953986;16.6544756;236.1;HV;DosPS2MT;Měření Doš. 44,45,46,48
Došlíkova 31a;VS HO Došlíkova;Juliánov;49.1953986;16.6544756;236.1;HV;DosPS3MT;Měření Slat.1,31 Líš.40
Drobného 38/40;Drobného 38/40;Černá Pole;49.2143203;16.6239561;243.3;HV;VSDelSTR;Drobného 38/40 nem.DELTA
Dřevařská 33;VS Dřevařská 31;Ponava;49.2085994;16.6002669;226.3;HV;VSD31STR;Výměník VS Dřevařská 31
Dubová 17;PK E5 Dubov  17;Jundrov;49.2130325;16.5501508;230.3;PK;E5DubKOT;Kotelna E5 Dubova 17
Dubová 1a;PK E3 Dubová 1a;Jundrov;49.2117183;16.5487519;230.5;PK;E3DubKOT;Kotle E3 Dubová
Dubová 1a;PK E3 Dubová 1a;Jundrov;49.2117183;16.5487519;230.5;PK;E3DubSTR;Strojovna  E3 Dubová
Dubová 23a;PK E4 Dubová 23a;Jundrov;49.2137381;16.5503375;229.9;PK;E4DubKOT;Kotle E4 Dubová
Dubová 23a;PK E4 Dubová 23a;Jundrov;49.2137381;16.5503375;229.9;PK;E4DubSTR;Strojovna  E4 Dubová
Dunajská 10;PK K2 Dunajská;Lískovec;49.1698589;16.5582431;248.5;PK;K2DunKOT;Kotelna K2 Dunajská
Dunajská 10;PK K2 Dunajská;Lískovec;49.1698589;16.5582431;248.5;PK;K2DunSTR;Strojovna K2 Dunajská
Dunajská 1a;PK K4 Dunajská 1a;Lískovec;49.1687014;16.5639972;259.7;PK;K4VltKOT;Kotelna K4 Dunjaská
Dunajská 1a;PK K4 Dunajská 1a;Lískovec;49.1687014;16.5639972;259.7;PK;K4VltSTR;Strojovna K4 Dunajská
Dunajská 47;PK K1 Dunajská;Lískovec;49.1701331;16.5555864;242.7;PK;K1DunKOT;Kotelna K1 Dunajská
Dunajská 47;PK K1 Dunajská;Lískovec;49.1701331;16.5555864;242.7;PK;K1DunSTR;Strojovna K1 Dunajská
Elišky Krásnohorské 15;VS El.Krásnoho.Mš;Černovice;49.1864264;16.6314536;200.0;PV;VSEMsSTR;VS MŠ El.Krásnohorské
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;VSEKrTOP;VS Elišky Krásnohorské
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;VSEKrMT;Měření E.Krásnohorské
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsEKr24;Pds El. Krásnohorské 24b
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsEKr28;Pds El. Krásnohorské 28b
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsEKr30;Pds El. Krásnohorské 30b
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsPre_3;Pds Přední 3b
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsPre_5;Pds Přední 5b
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsPre_7;Pds Přední 7
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsBla_3;Pds Blatouchova 3b
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsBla_5;Pds Blatouchova 5b
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsBla_7;Pds Blatouchova 7
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsKov_3;Pds Kovácká 3b
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsKov_5;Pds Kovácká 5b
