GPS lat,GPS lon,Adresa,Adresa interní,Městská část,vyska,Typ zdroje,Systém,Popis,0.001,0.005,0.01
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelKOT,Kotle K4 Bellova,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelSTR,Strojovna K4 Bellova,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelMT,Měření K4 Bellova,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelPS1,PDS Bellova 18,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelPS2,PDS Bellova 24,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelPS3,PDS Bellova 28/30,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelPS4,PDS Chopinova 6,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelPS5,PDS Lib.třída 8,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelMT1,Měření Bellova 5-48,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelMT2,Měření Chopinova 1-5,0.4650550229034957,0.6195116780246892,0.6608313982314274
49.19440170000001,16.5282256,Bellova 38a,PK K4 Bellova,Kohoutovice,403.7,PK,K4BelMT3,"Měř. Chopi.6-13,Lib.tř 8",0.4650550229034957,0.6195116780246892,0.6608313982314274
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,HO15BKOT,VS HO15 Bieblova vým.,0.439227505047448,0.12706138267585795,0.11795275069466843
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,HO15BMT,VS HO15 Bieblova Měření,0.439227505047448,0.12706138267585795,0.11795275069466843
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,PdBie_12,PDS Biebl.sude 2-14,0.439227505047448,0.12706138267585795,0.11795275069466843
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,PdBie_18,PDS Bieblova 18,0.439227505047448,0.12706138267585795,0.11795275069466843
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,PdBie_20,PDS Bieblova 20,0.439227505047448,0.12706138267585795,0.11795275069466843
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,PdBie_22,PDS Bieblova 22,0.439227505047448,0.12706138267585795,0.11795275069466843
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,PdBie_34,PDS Biebl.sude 24-38,0.439227505047448,0.12706138267585795,0.11795275069466843
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,PdSNP_15,PDS nam.SNP 12-17,0.439227505047448,0.12706138267585795,0.11795275069466843
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,BiPS1MT,Měření Bieblova 2-36,0.439227505047448,0.12706138267585795,0.11795275069466843
49.2162605,16.6160974,Bieblova 38,VSHO15 Bieblov.38,Černá Pole,249.0,HV,BiPS2MT,Měření SNP 12-17,0.439227505047448,0.12706138267585795,0.11795275069466843
49.1917028,16.6064561,Biskupská 8,VS Biskupská 8,Střed,238.1,HV,Bisk8STR,Stroj. Biskupská 8,0.14945964044288124,0.10387335168133516,0.09739709969603987
49.2072581,16.661221400000002,Blatnická 8a,VSV011 Blatnick.8a,Vinohrady,297.2,HV,V11BlKOT,Kotle V011 Blatnická,0.3075992757520454,0.1223909859065636,0.12666292641750482
49.2072581,16.661221400000002,Blatnická 8a,VSV011 Blatnick.8a,Vinohrady,297.2,HV,V11BlSTR,Stroj. V011 Blatnická,0.3075992757520454,0.1223909859065636,0.12666292641750482
49.2072581,16.661221400000002,Blatnická 8a,VSV011 Blatnick.8a,Vinohrady,297.2,HV,V11BlMT,Měření V011 Blatnická,0.3075992757520454,0.1223909859065636,0.12666292641750482
49.231442799999996,16.6281086,Brechtova 7,HO6 Brechtova 7,Lesná,308.7,HV,HO6BrKOT,Kotle HO6 Brechtova,0.5463272118414825,0.5427294617615424,0.49467138721875975
49.231442799999996,16.6281086,Brechtova 7,HO6 Brechtova 7,Lesná,308.7,HV,HO6BrSTR,Stroj. HO6 Brechtova,0.5463272118414825,0.5427294617615424,0.49467138721875975
49.227801899999996,16.6203258,Brožíkova 1,HO12 Brožíkova 1,Lesná,277.3,HV,HO12BSTR,Stroj. HO12 Brožíkova 1,0.6887434190374949,0.5148707013715998,0.3418534592783833
49.212452500000005,16.5473306,Březová 68a,PK G1 Březová 68a,Jundrov,238.5,PK,G1BreKOT,Kotle G1 Březová,0.11181577383627755,0.4658805098544011,0.4396873745748773
49.212452500000005,16.5473306,Březová 68a,PK G1 Březová 68a,Jundrov,238.5,PK,G1BreSTR,Strojovna  G1 Březová,0.11181577383627755,0.4658805098544011,0.4396873745748773
49.229997499999996,16.5864678,Bystřinova 10,VS Bystřinova 10,Královo Pole,250.9,HV,VBy10STR,Strojovna Bystřinova 10,0.0,0.0559352737680804,0.07198472867298605
49.229997499999996,16.5864678,Bystřinova 10,VS Bystřinova 10,Královo Pole,250.9,HV,VsBy10MT,Měření Bystřinova 10,0.0,0.0559352737680804,0.07198472867298605
49.1922956,16.6534875,Boettingrova 5,VS Boettingerov.5,Juliánov,236.4,HV,VSBoeKOT,Ohř. VS5 Boettingerova,0.0,0.09289897856366863,0.0573470975013807
49.1922956,16.6534875,Boettingrova 5,VS Boettingerov.5,Juliánov,236.4,HV,VSBoeStr,Ohř. VS5 Boettingerova,0.0,0.09289897856366863,0.0573470975013807
49.1922956,16.6534875,Boettingrova 5,VS Boettingerov.5,Juliánov,236.4,HV,VSBoeMT,Měř. VS5 Boettingerova,0.0,0.09289897856366863,0.0573470975013807
49.1922956,16.6534875,Boettingrova 5,VS Boettingerov.5,Juliánov,236.4,HV,PdsBoe05,PDS Boettingerova 5,0.0,0.09289897856366863,0.0573470975013807
49.2212475,16.5701958,Bochořákova 1,VS Bochořákova 11,Žabovřesky,260.3,HV,VsB11STR,Strojovna Bochořákova 11,0.0,0.17033570490674546,0.1266531669070997
49.2212475,16.5701958,Bochořákova 1,VS Bochořákova 11,Žabovřesky,260.3,HV,VsB11MT,Měření Bochořákova 11,0.0,0.17033570490674546,0.1266531669070997
49.2204417,16.5702033,Bochořákova 3,VS Bochořákova 3,Žabovřesky,254.4,HV,VsBo3STR,Strojovna Bochořákova 3,0.0,0.14289713262875192,0.12131185578564825
49.2204417,16.5702033,Bochořákova 3,VS Bochořákova 3,Žabovřesky,254.4,HV,VsBo3MT,Měření Bochořákova 3,0.0,0.14289713262875192,0.12131185578564825
49.2206386,16.5703761,Bochořákova 5,VS Bochořákova 5,Žabovřesky,254.7,HV,VsBo5STR,Strojovna Bochořákova 5,0.0,0.14692865739990532,0.12278068375755052
49.2206386,16.5703761,Bochořákova 5,VS Bochořákova 5,Žabovřesky,254.7,HV,VsBo5MT,Měření Bochořákova 5,0.0,0.14692865739990532,0.12278068375755052
49.220842499999996,16.5702036,Bochořákova 7,VS Bochořákova 7,Žabovřesky,257.1,HV,VsBo7STR,Strojovna Bochořákova 7,0.0,0.15470305337057966,0.12433842952931218
49.220842499999996,16.5702036,Bochořákova 7,VS Bochořákova 7,Žabovřesky,257.1,HV,VsBo7MT,Měření Bochořákova 7,0.0,0.15470305337057966,0.12433842952931218
49.2210464,16.570372199999998,Bochořákova 9,VS Bochořákova 9,Žabovřesky,257.8,HV,VsBo9STR,Strojovna Bochořákova 9,0.0,0.15967284675764568,0.12541824654927025
49.2210464,16.570372199999998,Bochořákova 9,VS Bochořákova 9,Žabovřesky,257.8,HV,VsBo9MT,Měření Bochořákova 9,0.0,0.15967284675764568,0.12541824654927025
49.2015689,16.6625678,Bořetická 15a,VSV04 Bořetick.15a,Vinohrady,281.6,HV,V04BoKOT,Kotle V04 Bořetická,0.0,0.028681691094968296,0.08565142689679615
49.2015689,16.6625678,Bořetická 15a,VSV04 Bořetick.15a,Vinohrady,281.6,HV,V04BoSTR,Stroj. V04 Bořetická,0.0,0.028681691094968296,0.08565142689679615
49.2015689,16.6625678,Bořetická 15a,VSV04 Bořetick.15a,Vinohrady,281.6,HV,V04BoMT,Měření V04 Bořetická,0.0,0.028681691094968296,0.08565142689679615
49.20456110000001,16.6598344,Bořetická 1a,VSV06 Bořetická 1a,Vinohrady,294.2,HV,V06BoKOT,Kotle V06 Bořetická,0.13733129639509292,0.07481130553704056,0.13081160634610906
49.20456110000001,16.6598344,Bořetická 1a,VSV06 Bořetická 1a,Vinohrady,294.2,HV,V06BoSTR,Stroj. V06 Bořetická,0.13733129639509292,0.07481130553704056,0.13081160634610906
49.20456110000001,16.6598344,Bořetická 1a,VSV06 Bořetická 1a,Vinohrady,294.2,HV,V06BoMT,Měření V06 Bořetická,0.13733129639509292,0.07481130553704056,0.13081160634610906
49.239443900000005,16.5816639,Boskovická 1,PKKR14 Boskovick.1,Řečkovice,248.8,PK,K14BoKOT,Kotle KR14 Boskovická,0.043136450355421206,0.02723781263159097,0.0803603957460695
49.239443900000005,16.5816639,Boskovická 1,PKKR14 Boskovick.1,Řečkovice,248.8,PK,K14BoSTR,Strojov. KR14 Boskovická,0.043136450355421206,0.02723781263159097,0.0803603957460695
49.239443900000005,16.5816639,Boskovická 1,PKKR14 Boskovick.1,Řečkovice,248.8,PK,K14BoMT,Měření KR14 Boskovická,0.043136450355421206,0.02723781263159097,0.0803603957460695
49.239443900000005,16.5816639,Boskovická 1,PKKR14 Boskovick.1,Řečkovice,248.8,PK,K14BoPS1,"PDS Žitná 1,3",0.043136450355421206,0.02723781263159097,0.0803603957460695
49.239443900000005,16.5816639,Boskovická 1,PKKR14 Boskovick.1,Řečkovice,248.8,PK,BoPS1MT,"Měření PDS Žitná 1,3",0.043136450355421206,0.02723781263159097,0.0803603957460695
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,K3BosKOT,Kotle KR3 Boskovická,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,K3BosSTR,Strojovna KR3 Boskovická,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,K3BosPS1,PDS Novoměstská 23-41,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,K3BosPS2,PDS Boskovická 2-16,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,K3BosPS3,PDS Boskovická 3-17,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,K3BosPS4,PDS Kunštátská 23-31,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,K3BosMT,Měření KR3 Boskovická,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,BosPS1MT,Měření Novoměstská 23-41,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,BosPS2MT,Měření Boskovická 2-16,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,BosPS3MT,Měření Boskovická 3-17,0.0,0.08332719693105668,0.18190907287998823
49.2408992,16.58708,Boskovická 8a,PKKR3 Boskovick.8a,Řečkovice,246.8,PK,BosPS4MT,Měření Kunštátská 23-31,0.0,0.08332719693105668,0.18190907287998823
49.1662289,16.556133300000003,Bosonožská 7a,PK K18 Bosonožská,Lískovec,229.7,PK,K18BoKOT,Kotelna K18 Bosonožská,0.0,0.007902221369419673,0.13429051219314136
49.1662289,16.556133300000003,Bosonožská 7a,PK K18 Bosonožská,Lískovec,229.7,PK,K18BoSTR,Stroj. K18 Bosonožská,0.0,0.007902221369419673,0.13429051219314136
49.1662289,16.556133300000003,Bosonožská 7a,PK K18 Bosonožská,Lískovec,229.7,PK,K18BoMT,Měření K18 Bosonožská,0.0,0.007902221369419673,0.13429051219314136
49.2072983,16.5993758,Botanická 29,VS Botanická 29,Veveří,230.3,HV,VSB29STR,Výměník VS Botanická 29,0.0,0.0768577187026777,0.0988739621495775
49.2074308,16.599281400000002,Botanická 31,VS Botanická 31,Veveří,230.7,HV,VSB31STR,Výměník VS Botanická 31,0.0,0.07146085074707251,0.09813413349905667
49.2086044,16.5985422,Botanická 43,VS Botanická 43,Veveří,231.3,HV,VSB43STR,Výměník VS Botanická 43,0.023640895934812806,0.05190108744881891,0.09119146794145677
49.207753100000005,16.599761100000002,Botanická 52,VS Botanická 52,Veveří,229.1,HV,VSB52STR,Výměník VS Botanická 52,0.0028813270821007437,0.08074907402331968,0.09831858336510385
49.2078953,16.5996964,Botanická 54,VS Botanická 54,Veveří,228.9,HV,VSB54STR,Výměník VS Botanická 54,0.019293580294616784,0.07628980879568423,0.09763789762355084
49.2111831,16.5968764,Botanická 59,VS Botanická 59,Veveří,232.7,HV,VSB59STR,Výměník VS Botanická 59,0.034927950422954976,0.05054806346424763,0.07233256730328126
49.2090011,16.59903,Botanická 66,"VS Botanická 66,68",Veveří,229.9,HV,VSB66STR,Výměník VS Botanická 66,0.023640895934812806,0.05770806858943851,0.089956783295552
49.2107761,16.5984844,Botanická 70,Měření Ponava,Veveří,229.3,HV,MT1Pon32,"MT Botan.,Kounic.,Závod.",0.0022774972318886913,0.04012726494284524,0.08231504856661344
49.2107761,16.5984844,Botanická 70,Měření Ponava,Veveří,229.3,HV,MT2Pon32,"MT Lidická,Zahradníkova.",0.0022774972318886913,0.04012726494284524,0.08231504856661344
49.2107761,16.5984844,Botanická 70,Měření Ponava,Veveří,229.3,HV,MT3Pon32,"MT Cihlářská, Burešova",0.0022774972318886913,0.04012726494284524,0.08231504856661344
49.23070560000001,16.5929081,Božetěchova 85a,VSHB4 Božetěchova,Královo Pole,231.0,HV,HB4BoKOT,Kotle HB4 Božetěchova,0.024861736727514634,0.05197610119782964,0.10878775729258029
49.23070560000001,16.5929081,Božetěchova 85a,VSHB4 Božetěchova,Královo Pole,231.0,HV,HB4BoStr,Stroj. HB4 Božetěchova,0.024861736727514634,0.05197610119782964,0.10878775729258029
49.23070560000001,16.5929081,Božetěchova 85a,VSHB4 Božetěchova,Královo Pole,231.0,HV,HB4BoMT,Měř. HB4 Božetěchova,0.024861736727514634,0.05197610119782964,0.10878775729258029
49.2299456,16.586285,Bystřinova 12,VS Bystřinova 12,Královo Pole,251.6,HV,VBy12STR,Strojovna Bystřinova 12,0.001044222899565155,0.05507033284061812,0.07084204237618216
49.2299456,16.586285,Bystřinova 12,VS Bystřinova 12,Královo Pole,251.6,HV,VsBy12MT,Měření Bystřinova 12,0.001044222899565155,0.05507033284061812,0.07084204237618216
49.2045769,16.6570997,Bzenecká 18a,VSV08 Bzenecká 18a,Vinohrady,296.2,HV,V08BzKOT,Kotle V08 Bzenecká,0.004424981368934553,0.13365823235999633,0.12485799258497413
49.2045769,16.6570997,Bzenecká 18a,VSV08 Bzenecká 18a,Vinohrady,296.2,HV,V08BzSTR,Stroj. V08 Bzenecká,0.004424981368934553,0.13365823235999633,0.12485799258497413
49.2045769,16.6570997,Bzenecká 18a,VSV08 Bzenecká 18a,Vinohrady,296.2,HV,V08BzMT,Měření V08 Bzenecká,0.004424981368934553,0.13365823235999633,0.12485799258497413
49.2099422,16.659879399999998,Bzenecká 4a,VSV010 Bzenecká 4a,Vinohrady,300.8,HV,V10BzKOT,Kotle V010 Bzenecká,0.0,0.2578642931230023,0.11749928160535501
49.2099422,16.659879399999998,Bzenecká 4a,VSV010 Bzenecká 4a,Vinohrady,300.8,HV,V10BzSTR,Stroj. V010 Bzenecká,0.0,0.2578642931230023,0.11749928160535501
49.2099422,16.659879399999998,Bzenecká 4a,VSV010 Bzenecká 4a,Vinohrady,300.8,HV,V10BzMT,Měření V010 Bzenecká,0.0,0.2578642931230023,0.11749928160535501
49.203842200000004,16.6047503,Cihlářská 15a,VS Cihlářská 15a,Veveří,219.7,HV,VSC15STR,Výměník VS Cihlářská 15a,0.02050935844230881,0.21287109132079707,0.128660451395152
49.2045914,16.6039297,Cihlářská 30,VS Cihlářská 30,Veveří,221.8,HV,VSC30STR,Výměník VS Cihlářská 30,0.0,0.19897155980082618,0.11969958359244297
49.204962200000004,16.6037006,Cihlářská 38,VS Cihlářská 38,Veveří,220.8,HV,VSC38STR,Výměník VS Cihlářská 38,0.0,0.20223254690571532,0.11524640590448487
49.2045514,16.6625836,Čejkovická 8,VSV03 Čejkovická 8,Vinohrady,288.1,HV,V03CeKOT,Kotle V03 Čejkovická,0.0,0.03562252693150367,0.12329775424513094
49.2045514,16.6625836,Čejkovická 8,VSV03 Čejkovická 8,Vinohrady,288.1,HV,V03CeSTR,Stroj. V03 Čejkovická,0.0,0.03562252693150367,0.12329775424513094
49.2045514,16.6625836,Čejkovická 8,VSV03 Čejkovická 8,Vinohrady,288.1,HV,V03CeMT,Měření V03 Čejkovická,0.0,0.03562252693150367,0.12329775424513094
49.1679092,16.575615300000003,Čeňka Růžičky 7,PK K21 Čeň.Růžičky,Bohunice,242.1,PK,K21RuKOT,Kotle K21 Čeňka Růičky,0.0,0.02251559565064936,0.10794893065916426
49.1679092,16.575615300000003,Čeňka Růžičky 7,PK K21 Čeň.Růžičky,Bohunice,242.1,PK,K21RuSTR,Strojovna K21 Č.Růžičky,0.0,0.02251559565064936,0.10794893065916426
49.1679092,16.575615300000003,Čeňka Růžičky 7,PK K21 Čeň.Růžičky,Bohunice,242.1,PK,K21RuPS1,PDS Č.Růžičky 6-18,0.0,0.02251559565064936,0.10794893065916426
49.1679092,16.575615300000003,Čeňka Růžičky 7,PK K21 Čeň.Růžičky,Bohunice,242.1,PK,RuPS1MT,Měření Č.Růžičky 6-18,0.0,0.02251559565064936,0.10794893065916426
49.213716399999996,16.5231658,Černého 47,PK8 Černého 47,Bystrc,259.0,PK,K8CerKOT,Kotle PK8 Černého,0.27681910260940984,0.5034833225771049,0.5245642896008863
49.213716399999996,16.5231658,Černého 47,PK8 Černého 47,Bystrc,259.0,PK,K8CerSTR,Strojovna PK8 Černého,0.27681910260940984,0.5034833225771049,0.5245642896008863
49.213716399999996,16.5231658,Černého 47,PK8 Černého 47,Bystrc,259.0,PK,K8Cer_MT,Měření PK8 Černého,0.27681910260940984,0.5034833225771049,0.5245642896008863
49.2169517,16.5261858,Černého 5a,PK7 Černého 5a,Bystrc,246.2,PK,K7CerKOT,Kotle PK7 Černého,0.006434918773946769,0.36194866250111807,0.4506560269009585
49.2169517,16.5261858,Černého 5a,PK7 Černého 5a,Bystrc,246.2,PK,K7CerSTR,Strojovna PK7 Černého,0.006434918773946769,0.36194866250111807,0.4506560269009585
49.2169517,16.5261858,Černého 5a,PK7 Černého 5a,Bystrc,246.2,PK,K7Cer_MT,Měření PK7 Černého,0.006434918773946769,0.36194866250111807,0.4506560269009585
49.1816906,16.6831911,Dědická 1a,PK1 Dědická 1a,Slatina,264.7,PK,PK1DeKOT,PK1 Dědická kotle,0.0,0.0058510902261458475,0.012289031170722588
49.1816906,16.6831911,Dědická 1a,PK1 Dědická 1a,Slatina,264.7,PK,PK1DeSTR,PK1 Dědická strojovna,0.0,0.0058510902261458475,0.012289031170722588
49.1816906,16.6831911,Dědická 1a,PK1 Dědická 1a,Slatina,264.7,PK,PK1DePS1,PDS Dědická 1-6,0.0,0.0058510902261458475,0.012289031170722588
49.1816906,16.6831911,Dědická 1a,PK1 Dědická 1a,Slatina,264.7,PK,PK1DePS2,PDS Dědická 7-12,0.0,0.0058510902261458475,0.012289031170722588
49.1816906,16.6831911,Dědická 1a,PK1 Dědická 1a,Slatina,264.7,PK,PK1DePS3,PDS Dědická 13-18,0.0,0.0058510902261458475,0.012289031170722588
49.1816906,16.6831911,Dědická 1a,PK1 Dědická 1a,Slatina,264.7,PK,PK1DePS4,PDS Bučovická 1-6,0.0,0.0058510902261458475,0.012289031170722588
49.1816906,16.6831911,Dědická 1a,PK1 Dědická 1a,Slatina,264.7,PK,PK1DePS5,"PDS Bučovická 7,9,11",0.0,0.0058510902261458475,0.012289031170722588
